total,marca,modelo,año,color,fuel_type,puertas,tipo,motor,tipo_cuerpo,kilometros,moneda
47700.0,Toyota,SW4,2020,Gris,Diésel,5.0,Automática,2.8,SUV,71000,dólares
64900.0,RAM,1500,2022,Rojo,Nafta,4.0,Automática,5.7,Pick-Up,18000,dólares
30899.0,Volkswagen,Taos,2022,Gris,Nafta,5.0,Automática,1.4,SUV,1111,dólares
25549.0,Volkswagen,T-Cross,2019,Gris,Nafta,5.0,Automática,1.6,SUV,23000,dólares
15856.0,Ford,Focus III,2017,Azul,Nafta,4.0,Manual,2.0,Sedán,79000,dólares
19345.0,Ford,Ecosport,2020,Blanco,Nafta,5.0,Automática,1.5,SUV,39000,dólares
10273.0,Ford,Fiesta Kinetic Design,2013,Gris,Nafta,5.0,Manual,1.6,Hatchback,79000,dólares
32799.0,Volkswagen,Passat,2017,Blanco,Nafta,4.0,Automática,2.0,Sedán,59000,dólares
9110.0,Fiat,Palio,2015,Negro,Nafta/GNC,5.0,Manual,1.4,Hatchback,64000,dólares
30589.0,Hyundai,Santa Fe,2017,Gris,Nafta,5.0,Manual,2.4,SUV,90000,dólares
23223.0,Jeep,Renegade,2018,Rojo,Nafta,5.0,Automática,1.8,SUV,57000,dólares
12500.0,BMW,Serie 1,2010,Plateado,Nafta,3.0,Manual,2.0,Hatchback,125000,dólares
29035.0,Volkswagen,Amarok,2017,Blanco,Diésel,2.0,Manual,2.0,Pick-Up,115000,dólares
17058.0,Citroën,C4 Cactus,2018,Violeta,Nafta,5.0,Automática,1.2,SUV,46000,dólares
9731.0,Renault,Sandero,2019,Negro,Nafta,5.0,Manual,1.6,Hatchback,58000,dólares
36056.0,Ford,Territory,2021,Blanco,Nafta,5.0,Automática,1.5,SUV,15000,dólares
13569.0,Chevrolet,Onix,2017,Rojo,Nafta/GNC,5.0,Manual,1.4,Hatchback,60000,dólares
11243.0,Volkswagen,Voyage,2018,Azul,Nafta,4.0,Manual,1.6,Sedán,38000,dólares
22874.0,Toyota,Yaris,2020,Blanco,Nafta,5.0,Manual,1.5,Hatchback,12000,dólares
13414.0,Volkswagen,Gol Trend,2017,Blanco,Nafta,5.0,Manual,1.6,Hatchback,39000,dólares
13957.0,Renault,Duster,2016,Blanco,Nafta,5.0,Manual,1.6,SUV,76000,dólares
14728.0,Peugeot,208,2017,Gris,Nafta,5.0,Manual,1.6,Hatchback,58000,dólares
16477.0,Renault,Duster,2015,Negro,Nafta/GNC,5.0,Manual,2.0,SUV,89400,dólares
11165.0,Ford,Fiesta Kinetic Design,2015,Negro,Nafta,5.0,Manual,1.6,Hatchback,89800,dólares
8529.0,Honda,Fit,2011,Negro,Nafta,5.0,Manual,1.4,Hatchback,137000,dólares
25161.0,Mitsubishi,L200,2016,Gris,Diésel,4.0,Manual,3.2,Pick-Up,181800,dólares
27875.0,Citroën,C4 Spacetourer,2019,Blanco,Nafta,5.0,Automática,1.6,Monovolumen,60000,dólares
17795.0,Volkswagen,Saveiro,2020,Blanco,Nafta,2.0,Manual,1.6,Pick-Up,37000,dólares
13530.0,Citroën,DS4,2013,Blanco,Nafta,5.0,Automática,1.6,Hatchback,79100,dólares
33342.0,Toyota,Hilux,2017,Blanco,Diésel,4.0,Automática,2.8,Pick-Up,170000,dólares
10599.0,Mercedes-Benz,Clase C,2008,Plateado,Nafta,4.0,Automática,2.2,Sedán,250000,dólares
